# sep	energy	f1x	f1y	f1z	f2x	f2y	f2z	t1x	t1y	t1z	t2x	t2y	t2z
16.800	-15.8681	3.38618022511e-14	8.70708599995	-1.88293824976e-13	-7.32747196253e-14	-8.70708600017	-1.172395514e-13	6.28119778412e-12	-0.00186398739676	2.01394956267e-10	-3.21165316564e-12	-0.00186398740001	0.0
16.900	-15.0242	-3.63042929052e-14	8.17545599995	-1.79412040779e-13	-5.41788836017e-14	-8.17545599966	-1.172395514e-13	4.14956957684e-12	0.00259758160169	2.01394789734e-10	1.64135371961e-12	0.00259758160007	1.73472347598e-18
17.000	-13.8721	1.50435219837e-14	7.51769999995	-1.82964754458e-13	8.03801469829e-14	-7.51770000017	-1.24344978758e-13	2.84217094304e-12	6.42492028362e-05	2.01394789734e-10	-4.90274487674e-13	6.42492016425e-05	0.0
17.100	-12.7932	1.57096557984e-14	6.91949999995	5.50670620214e-14	-8.83737527602e-14	-6.91950000017	-2.09610107049e-13	2.30215846386e-12	0.000493615203723	2.01394678712e-10	1.7763568394e-12	0.000493615200497	0.0
17.200	-11.8415	1.75415237891e-14	6.38745999995	-2.78888023786e-13	7.1054273576e-15	-6.38746	-2.09610107049e-13	3.58113538823e-12	0.00209648440281	2.01394678712e-10	-5.68434188608e-13	0.00209648440122	2.77555756156e-17
17.300	-11.2222	-3.4805491822e-14	6.00553999995	-2.75335310107e-13	8.52651282912e-14	-6.00554	-2.02504679692e-13	2.47268872045e-12	0.00123182880516	2.01394678712e-10	1.5916157281e-12	0.00109083720381	-2.68882138776e-17
17.400	-10.2893	9.37583344296e-14	5.50013999995	-1.63424829225e-13	1.90958360236e-13	-5.50013999966	-1.10134124043e-13	5.68434188608e-13	0.000544037501673	2.01394456667e-10	3.24007487507e-12	0.000544037500422	-8.41340885849e-17
17.500	-9.40454	5.05151476204e-15	5.01635999995	-1.59872115546e-13	4.78506123613e-14	-5.01636	-1.172395514e-13	3.04112290905e-12	0.00109058370401	2.01394262378e-10	1.13686837722e-13	0.00109058370565	-8.67361737988e-19
17.600	-8.77375	4.32431868091e-14	4.65329999995	-1.81188397619e-13	3.27515792264e-14	-4.65330000034	-1.1901590824e-13	-4.26325641456e-13	-7.52953992489e-05	2.01394262378e-10	5.68434188608e-13	-7.52953986449e-05	1.38777878078e-17
17.700	-8.18425	1.23789867246e-14	4.32355999995	-1.42108547152e-14	5.36237720894e-14	-4.32356	-1.95399252334e-14	3.43902684108e-12	-0.00112460629724	2.01394401156e-10	1.42108547152e-13	-0.00112460630045	-1.73472347598e-18
17.800	-7.62276	-1.0325074129e-14	4.00493999995	-1.95399252334e-14	3.44169137634e-15	-4.00494	-2.30926389122e-14	3.12638803734e-12	-0.00304206689853	2.01394401156e-10	5.68434188608e-13	-0.00304206689786	-1.73472347598e-18
17.900	-7.02135	-1.84297022088e-14	3.67321999995	-1.59872115546e-14	8.87068196676e-14	-3.67321999966	-2.30926389122e-14	1.36424205266e-12	-0.00111042689708	2.01394460136e-10	5.68434188608e-13	-0.00111042689637	0.0
18.000	-6.45366	6.10067552032e-14	3.36811999995	-1.82964754458e-13	6.29496454962e-14	-3.36812	-1.26121335597e-13	3.04112290905e-12	0.00139938370247	2.01394460136e-10	-3.41060513165e-13	0.00139938370295	0.0
18.100	-5.90969	-3.71924713249e-14	3.06869999995	-3.5527136788e-15	5.14033260401e-14	-3.06870000034	-2.13162820728e-14	5.68434188608e-14	-0.00142739629757	2.01394585037e-10	2.52953213931e-12	-3.16502984816e-05	0.0
18.200	-5.46882	5.78981307342e-14	2.82635999995	-1.84741111298e-13	1.45439216226e-14	-2.82636	-1.13686837722e-13	1.3073986338e-12	0.000649339501429	2.01394668303e-10	4.17799128627e-12	0.000649339500384	0.0
18.300	-4.98114	2.18713935851e-14	2.56577999995	-1.98951966013e-13	5.09592368303e-14	-2.56578	-4.61852778244e-14	1.22213350551e-12	0.00131039120101	2.01394682181e-10	-3.41060513165e-13	0.00131039120144	-4.85722573274e-17
18.400	-4.48669	4.35207425653e-14	2.31423999995	-1.90070181816e-13	7.8492767841e-14	-2.31423999966	-6.03961325396e-14	2.55795384874e-12	0.0026549904012	2.01394685651e-10	2.52953213931e-12	0.00265499040192	-1.56125112838e-17
18.500	-4.22546	2.40918396344e-14	2.16309999995	-2.00728322852e-13	-2.33146835171e-15	-2.1631	-6.03961325396e-14	3.24007487507e-12	-0.000550269397635	2.01394685651e-10	1.67688085639e-12	-0.000550269399426	0.0
18.600	-3.80496	2.63677968348e-14	1.94629999995	-1.93622895495e-13	8.20454815198e-14	-1.94630000034	-1.4921397451e-13	3.52429196937e-12	0.000582761202502	2.01394699528e-10	-2.21689333557e-12	0.000582761201642	-2.25514051877e-17
18.700	-3.40728	-6.54476473017e-14	1.74041999995	-3.07309733216e-13	1.397770788e-13	-1.74042	-2.98427949019e-13	1.56319401867e-12	-0.000395545998717	2.01394734223e-10	-2.8990143619e-12	-0.000395545999325	1.1622647289e-16
18.800	-3.16984	4.81836792687e-14	1.61373999995	-3.2507330161e-13	5.62883073485e-14	-1.61374	-2.9487523534e-13	1.36424205266e-12	0.000987441502737	2.01394730753e-10	-1.25055521494e-12	0.00098744150209	-6.93889390391e-18
18.900	-2.83326	2.15383266777e-14	1.43889999995	-3.21520587931e-13	6.78346268046e-14	-1.43889999966	-2.98427949019e-13	4.46220838057e-12	0.000930738801799	2.01394772387e-10	1.13686837722e-12	0.000930738799227	5.20417042793e-18
19.000	-2.69349	8.99280649946e-15	1.35623999995	-2.00728322852e-13	1.27675647832e-14	-1.35624	-1.7763568394e-13	2.04636307899e-12	-0.00220634839681	2.01394744631e-10	2.07478478842e-12	-0.00220634840032	0.0
19.100	-2.2771	7.64943663967e-14	1.14563999995	-1.93622895495e-13	4.91828799909e-14	-1.14564000034	-1.84741111298e-13	2.04636307899e-12	0.00122758350437	2.01394744631e-10	-2.84217094304e-13	0.00122758350436	-2.42861286637e-17
19.200	-1.84473	3.86912724082e-14	0.933599999953	-5.3290705182e-15	1.72084568817e-14	-0.9336	-1.7763568394e-14	5.68434188608e-14	-0.000127905598408	2.01394737692e-10	3.29691829393e-12	-0.000127905595392	3.46944695195e-18
19.300	-1.61465	8.57647286523e-14	0.818239999953	-2.13162820728e-14	8.47100167789e-14	-0.81824	-1.7763568394e-14	5.76960701437e-12	-0.00108310619668	2.01394775856e-10	8.81072992343e-13	-0.00108310619409	-2.60208521397e-18
19.400	-1.35545	4.67403893367e-14	0.685719999953	-2.13162820728e-14	1.72084568817e-14	-0.685719999657	-1.7763568394e-14	2.50111042988e-12	0.000982180502916	2.01394789734e-10	5.68434188608e-14	0.000982180503783	-6.93889390391e-18
19.500	-1.25317	2.54241072639e-14	0.631279999953	-7.1054273576e-15	1.72084568817e-14	-0.63128	-2.48689957516e-14	3.24007487507e-12	-0.000154982998474	2.01394796673e-10	-3.21165316564e-12	-0.000154982999689	1.73472347598e-18
19.600	-1.15561	4.25215418431e-14	0.578059999954	-3.5527136788e-15	5.27355936697e-14	-0.578060000343	-2.48689957516e-14	1.13686837722e-12	-0.000793886297583	2.01394796673e-10	3.5527136788e-12	-0.000793886296506	0.0
19.700	-0.955981	5.06261699229e-14	0.478999999953	-3.5527136788e-15	6.55031584529e-15	-0.479	-1.06581410364e-14	3.78008735424e-12	-0.000190086397289	2.01394829633e-10	-2.84217094304e-12	-0.000190086396188	-4.33680868994e-19
19.800	-0.909455	4.85722573274e-14	0.450939999953	-1.06581410364e-14	6.33937347061e-14	-0.45094	-1.7763568394e-14	2.95585778076e-12	0.00121117460219	2.01394829633e-10	-3.2684965845e-12	0.00121117460252	0.0
19.900	-0.759937	5.61217738948e-14	0.377099999954	-1.42108547152e-14	4.56301663121e-14	-0.377099999657	-1.06581410364e-14	4.03588273912e-12	-0.000427586196338	2.01394829633e-10	1.50635059981e-12	-0.000427586197148	-1.73472347598e-18
20.000	-0.616696	2.56461518688e-14	0.303939999954	-1.42108547152e-14	2.43138842393e-14	-0.30394	-1.06581410364e-14	1.73372427525e-12	1.66436025282e-05	2.01394825079e-10	4.54747350886e-13	1.66436017111e-05	1.08420217249e-18
